 Writing video to: /home/p06lab/PHYS/AnimatedDrawings/video.gif
Render time: 8.05 seconds
         3171071 function calls (2964902 primitive calls) in 8.056 seconds

   Ordered by: cumulative time
   List reduced from 5619 to 1000 due to restriction <1000>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      169    0.033    0.000    0.072    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:629(_draw)
        1    0.000    0.000    0.067    0.067 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/stats/_continuous_distns.py:6(<module>)
     2311    0.012    0.000    0.067    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/vectors.py:72(norm)
    43919    0.064    0.000    0.064    0.000 {built-in method numpy.array}
     4919    0.010    0.000    0.064    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/shapely/geometry/point.py:38(__init__)
        1    0.000    0.000    0.062    0.062 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/__init__.py:1(<module>)
     4013    0.003    0.000    0.062    0.000 <__array_function__ internals>:177(inv)
     1390    0.007    0.000    0.062    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.062    0.062 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/__init__.py:1(<module>)
      108    0.002    0.000    0.060    0.001 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:1900(__init__)
        1    0.000    0.000    0.059    0.059 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/util/__init__.py:1(<module>)
      195    0.000    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
     2167    0.002    0.000    0.057    0.000 <__array_function__ internals>:177(argmin)
      195    0.057    0.000    0.057    0.000 {built-in method _imp.create_dynamic}
1982/1945    0.017    0.000    0.056    0.000 {built-in method builtins.__build_class__}
