 Writing video to: /home/p06lab/PHYS/AnimatedDrawings/video.gif
         9977517 function calls (9599287 primitive calls) in 19.864 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:105(getcolor)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
      679    0.000    0.000    0.001    0.000 ImagePalette.py:190(raw)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:24(ImagePalette)
     3052    0.002    0.000    0.003    0.000 ImagePalette.py:36(__init__)
    92988    0.005    0.000    0.005    0.000 ImagePalette.py:42(palette)
     5088    0.001    0.000    0.001    0.000 ImagePalette.py:46(palette)
      680    0.026    0.000    0.031    0.000 ImagePalette.py:51(colors)
      677    0.001    0.000    0.002    0.000 ImagePalette.py:67(copy)
      680    0.000    0.000    0.001    0.000 ImagePalette.py:78(getdata)
      680    0.001    0.000    0.002    0.000 ImagePalette.py:89(tobytes)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
      339    0.000    0.000    0.000    0.000 ImageSequence.py:31(__init__)
      339    0.000    0.000    0.000    0.000 ImageSequence.py:45(__iter__)
      678    0.001    0.000    0.001    0.000 ImageSequence.py:48(__next__)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:353(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1066(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1077(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:119(Blend)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:150(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:239(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:261(PngInfo)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:345(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:698(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:98(Disposal)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:148(PpmPlainDecoder)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:279(PpmDecoder)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:53(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      147    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:420(_populate)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      114    0.004    0.000    1.417    0.012 __init__.py:1(<module>)
       35    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:102(Bool)
        1    0.000    0.000    0.000    0.000 __init__.py:103(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1051(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:106(Int)
        1    0.000    0.000    0.000    0.000 __init__.py:1069(subscribe)
       98    0.000    0.000    0.000    0.000 __init__.py:1085(_added_new)
